SiteID, 12900
Longitude, -124.3125
Latitude, 40.4375
Year,Month,Day,Hour,Minute,SCORE-lite Power Output 100m
2006,1,1,0,0,10.409
2006,1,1,0,10,1.6
2006,1,1,0,20,7.192
2006,1,1,0,30,4.5889999999999995
2006,1,1,0,40,4.5569999999999995
2006,1,1,0,50,5.186
2006,1,1,1,0,3.819
2006,1,1,1,10,7.084
2006,1,1,1,20,3.4210000000000003
2006,1,1,1,30,7.801
2006,1,1,1,40,0.0
2006,1,1,1,50,7.803999999999999
2006,1,1,2,0,0.0
2006,1,1,2,10,4.297
2006,1,1,2,20,6.761
2006,1,1,2,30,8.832
2006,1,1,2,40,8.357999999999999
2006,1,1,2,50,9.408
2006,1,1,3,0,11.02
2006,1,1,3,10,6.276
2006,1,1,3,20,14.003
2006,1,1,3,30,13.953
2006,1,1,3,40,17.702
2006,1,1,3,50,16.537
2006,1,1,4,0,17.41
2006,1,1,4,10,23.824
2006,1,1,4,20,24.445
2006,1,1,4,30,22.898000000000003
2006,1,1,4,40,25.261
2006,1,1,4,50,23.514
2006,1,1,5,0,30.0
2006,1,1,5,10,26.908
2006,1,1,5,20,28.101
2006,1,1,5,30,29.524
2006,1,1,5,40,30.0
2006,1,1,5,50,30.0
2006,1,1,6,0,30.0
2006,1,1,6,10,30.0
2006,1,1,6,20,29.929000000000002
2006,1,1,6,30,30.0
2006,1,1,6,40,30.0
2006,1,1,6,50,30.0
2006,1,1,7,0,30.0
2006,1,1,7,10,29.97
2006,1,1,7,20,30.0
2006,1,1,7,30,29.951
2006,1,1,7,40,30.0
2006,1,1,7,50,29.834
2006,1,1,8,0,30.0
2006,1,1,8,10,29.63
2006,1,1,8,20,29.899
2006,1,1,8,30,29.526
2006,1,1,8,40,30.0
2006,1,1,8,50,30.0
2006,1,1,9,0,29.706
2006,1,1,9,10,28.35
2006,1,1,9,20,30.0
2006,1,1,9,30,29.845
2006,1,1,9,40,30.0
2006,1,1,9,50,27.156
2006,1,1,10,0,30.0
2006,1,1,10,10,27.651999999999997
2006,1,1,10,20,28.9
2006,1,1,10,30,30.0
2006,1,1,10,40,30.0
2006,1,1,10,50,30.0
2006,1,1,11,0,30.0
2006,1,1,11,10,30.0
2006,1,1,11,20,30.0
2006,1,1,11,30,29.607
2006,1,1,11,40,29.677
2006,1,1,11,50,30.0
2006,1,1,12,0,30.0
2006,1,1,12,10,30.0
2006,1,1,12,20,29.031
2006,1,1,12,30,29.695
2006,1,1,12,40,30.0
2006,1,1,12,50,30.0
2006,1,1,13,0,28.906
2006,1,1,13,10,30.0
2006,1,1,13,20,30.0
2006,1,1,13,30,28.844
2006,1,1,13,40,28.158
2006,1,1,13,50,28.728
2006,1,1,14,0,29.734
2006,1,1,14,10,30.0
2006,1,1,14,20,29.47
2006,1,1,14,30,30.0
2006,1,1,14,40,30.0
2006,1,1,14,50,29.489
2006,1,1,15,0,30.0
2006,1,1,15,10,29.788
2006,1,1,15,20,30.0
2006,1,1,15,30,30.0
2006,1,1,15,40,30.0
2006,1,1,15,50,30.0
2006,1,1,16,0,29.535999999999998
2006,1,1,16,10,29.886
2006,1,1,16,20,27.482
2006,1,1,16,30,28.581999999999997
2006,1,1,16,40,30.0
2006,1,1,16,50,29.004
2006,1,1,17,0,28.83
2006,1,1,17,10,29.506
2006,1,1,17,20,29.415
2006,1,1,17,30,30.0
