SiteID, 12509
Longitude, -124.25
Latitude, 40.1875
Year,Month,Day,Hour,Minute,SCORE-lite Power Output 100m
2006,1,1,0,0,1.3730000000000002
2006,1,1,0,10,1.7830000000000001
2006,1,1,0,20,0.579
2006,1,1,0,30,0.0
2006,1,1,0,40,0.0
2006,1,1,0,50,0.0
2006,1,1,1,0,0.0
2006,1,1,1,10,0.0
2006,1,1,1,20,0.0
2006,1,1,1,30,0.0
2006,1,1,1,40,0.0
2006,1,1,1,50,0.0
2006,1,1,2,0,0.609
2006,1,1,2,10,0.071
2006,1,1,2,20,1.032
2006,1,1,2,30,2.1719999999999997
2006,1,1,2,40,3.555
2006,1,1,2,50,2.404
2006,1,1,3,0,3.73
2006,1,1,3,10,3.533
2006,1,1,3,20,5.861000000000001
2006,1,1,3,30,4.914
2006,1,1,3,40,6.752999999999999
2006,1,1,3,50,10.142999999999999
2006,1,1,4,0,8.594
2006,1,1,4,10,11.41
2006,1,1,4,20,11.085
2006,1,1,4,30,12.087
2006,1,1,4,40,19.004
2006,1,1,4,50,22.118000000000002
2006,1,1,5,0,23.153000000000002
2006,1,1,5,10,27.979
2006,1,1,5,20,26.129
2006,1,1,5,30,28.406
2006,1,1,5,40,24.682
2006,1,1,5,50,28.061
2006,1,1,6,0,28.116
2006,1,1,6,10,30.0
2006,1,1,6,20,30.0
2006,1,1,6,30,30.0
2006,1,1,6,40,30.0
2006,1,1,6,50,28.083000000000002
2006,1,1,7,0,29.116
2006,1,1,7,10,28.396
2006,1,1,7,20,30.0
2006,1,1,7,30,27.475
2006,1,1,7,40,28.635
2006,1,1,7,50,28.628
2006,1,1,8,0,29.406999999999996
2006,1,1,8,10,30.0
2006,1,1,8,20,29.3
2006,1,1,8,30,30.0
2006,1,1,8,40,30.0
2006,1,1,8,50,30.0
2006,1,1,9,0,30.0
2006,1,1,9,10,30.0
2006,1,1,9,20,30.0
2006,1,1,9,30,30.0
2006,1,1,9,40,30.0
2006,1,1,9,50,30.0
2006,1,1,10,0,30.0
2006,1,1,10,10,29.908
2006,1,1,10,20,30.0
2006,1,1,10,30,30.0
2006,1,1,10,40,29.084
