SiteID, 12952
Longitude, -124.375
Latitude, 40.53125
Year,Month,Day,Hour,Minute,SCORE-lite Power Output 100m
2006,1,1,0,0,1.177
2006,1,1,0,10,1.393
2006,1,1,0,20,1.749
2006,1,1,0,30,1.506
2006,1,1,0,40,2.7689999999999997
2006,1,1,0,50,2.231
2006,1,1,1,0,2.6889999999999996
2006,1,1,1,10,1.245
2006,1,1,1,20,3.115
2006,1,1,1,30,3.487
2006,1,1,1,40,0.0
2006,1,1,1,50,4.053999999999999
2006,1,1,2,0,3.67
2006,1,1,2,10,4.035
2006,1,1,2,20,1.6880000000000002
2006,1,1,2,30,3.94
2006,1,1,2,40,5.7860000000000005
2006,1,1,2,50,7.727
2006,1,1,3,0,7.7589999999999995
2006,1,1,3,10,8.561
2006,1,1,3,20,10.288
2006,1,1,3,30,8.213
2006,1,1,3,40,6.23
2006,1,1,3,50,9.662
2006,1,1,4,0,15.898
2006,1,1,4,10,13.908
2006,1,1,4,20,15.834000000000001
2006,1,1,4,30,22.053
2006,1,1,4,40,22.905
2006,1,1,4,50,21.002
2006,1,1,5,0,23.828000000000003
2006,1,1,5,10,23.68
2006,1,1,5,20,22.712
2006,1,1,5,30,25.195999999999998
2006,1,1,5,40,25.804000000000002
2006,1,1,5,50,26.17
2006,1,1,6,0,26.156999999999996
2006,1,1,6,10,30.0
2006,1,1,6,20,30.0
2006,1,1,6,30,30.0
2006,1,1,6,40,29.655
2006,1,1,6,50,30.0
2006,1,1,7,0,30.0
2006,1,1,7,10,30.0
2006,1,1,7,20,28.683000000000003
2006,1,1,7,30,29.548000000000002
2006,1,1,7,40,28.971
2006,1,1,7,50,30.0
2006,1,1,8,0,30.0
2006,1,1,8,10,27.987
2006,1,1,8,20,30.0
2006,1,1,8,30,30.0
2006,1,1,8,40,30.0
2006,1,1,8,50,29.726
2006,1,1,9,0,28.269000000000002
2006,1,1,9,10,28.416999999999998
2006,1,1,9,20,28.051
2006,1,1,9,30,30.0
2006,1,1,9,40,29.855999999999998
2006,1,1,9,50,29.432
2006,1,1,10,0,30.0
2006,1,1,10,10,30.0
2006,1,1,10,20,29.623
2006,1,1,10,30,27.016
2006,1,1,10,40,30.0
2006,1,1,10,50,29.971999999999998
2006,1,1,11,0,29.052
2006,1,1,11,10,29.428
2006,1,1,11,20,30.0
2006,1,1,11,30,30.0
2006,1,1,11,40,30.0
2006,1,1,11,50,28.861
2006,1,1,12,0,30.0
2006,1,1,12,10,30.0
2006,1,1,12,20,30.0
