SiteID, 12970
Longitude, -123.375
Latitude, 40.5625
Year,Month,Day,Hour,Minute,SCORE-lite Power Output 100m
2006,1,1,0,0,9.648
2006,1,1,0,10,6.569
2006,1,1,0,20,7.513
2006,1,1,0,30,6.416
2006,1,1,0,40,8.24
2006,1,1,0,50,5.239
2006,1,1,1,0,5.452999999999999
2006,1,1,1,10,6.313
2006,1,1,1,20,4.4430000000000005
2006,1,1,1,30,2.4819999999999998
2006,1,1,1,40,3.3110000000000004
2006,1,1,1,50,1.8780000000000001
2006,1,1,2,0,1.186
2006,1,1,2,10,1.656
2006,1,1,2,20,2.673
2006,1,1,2,30,3.27
2006,1,1,2,40,3.659
2006,1,1,2,50,3.05
2006,1,1,3,0,2.778
2006,1,1,3,10,2.281
2006,1,1,3,20,5.922000000000001
2006,1,1,3,30,7.6160000000000005
2006,1,1,3,40,7.348
2006,1,1,3,50,10.687999999999999
2006,1,1,4,0,17.942999999999998
2006,1,1,4,10,14.664000000000001
2006,1,1,4,20,13.325999999999999
2006,1,1,4,30,16.75
2006,1,1,4,40,17.375999999999998
2006,1,1,4,50,20.176
2006,1,1,5,0,19.8
2006,1,1,5,10,23.668000000000003
2006,1,1,5,20,23.953000000000003
2006,1,1,5,30,25.201
2006,1,1,5,40,22.951999999999998
2006,1,1,5,50,26.638
2006,1,1,6,0,23.646
2006,1,1,6,10,23.416999999999998
2006,1,1,6,20,27.671999999999997
2006,1,1,6,30,28.375999999999998
2006,1,1,6,40,26.307
2006,1,1,6,50,21.824
2006,1,1,7,0,26.046
2006,1,1,7,10,23.478
2006,1,1,7,20,21.715
2006,1,1,7,30,23.279
2006,1,1,7,40,21.344
2006,1,1,7,50,20.56
2006,1,1,8,0,24.654
2006,1,1,8,10,20.189
2006,1,1,8,20,24.685
2006,1,1,8,30,26.308000000000003
2006,1,1,8,40,27.741999999999997
2006,1,1,8,50,26.625999999999998
2006,1,1,9,0,29.176
2006,1,1,9,10,27.693
2006,1,1,9,20,27.063000000000002
2006,1,1,9,30,30.0
2006,1,1,9,40,29.134
2006,1,1,9,50,29.815
2006,1,1,10,0,30.0
2006,1,1,10,10,26.72
2006,1,1,10,20,27.869
2006,1,1,10,30,30.0
2006,1,1,10,40,30.0
2006,1,1,10,50,30.0
2006,1,1,11,0,28.924
2006,1,1,11,10,29.737
2006,1,1,11,20,30.0
2006,1,1,11,30,30.0
2006,1,1,11,40,30.0
2006,1,1,11,50,29.06
2006,1,1,12,0,30.0
2006,1,1,12,10,30.0
2006,1,1,12,20,28.303
2006,1,1,12,30,30.0
2006,1,1,12,40,30.0
2006,1,1,12,50,29.066999999999997
2006,1,1,13,0,29.318
2006,1,1,13,10,28.736
2006,1,1,13,20,30.0
2006,1,1,13,30,29.531
2006,1,1,13,40,30.0
2006,1,1,13,50,30.0
2006,1,1,14,0,30.0
2006,1,1,14,10,29.719
2006,1,1,14,20,30.0
2006,1,1,14,30,27.68
2006,1,1,14,40,25.715
2006,1,1,14,50,22.979
2006,1,1,15,0,16.553
2006,1,1,15,10,25.575
2006,1,1,15,20,29.819000000000003
2006,1,1,15,30,29.594
2006,1,1,15,40,27.709
2006,1,1,15,50,30.0
2006,1,1,16,0,30.0
2006,1,1,16,10,28.587
2006,1,1,16,20,30.0
2006,1,1,16,30,30.0
2006,1,1,16,40,30.0
2006,1,1,16,50,30.0
2006,1,1,17,0,29.897
2006,1,1,17,10,30.0
2006,1,1,17,20,30.0
2006,1,1,17,30,29.6
2006,1,1,17,40,28.416999999999998
2006,1,1,17,50,29.765
2006,1,1,18,0,30.0
2006,1,1,18,10,30.0
2006,1,1,18,20,29.96
2006,1,1,18,30,30.0
2006,1,1,18,40,29.645
2006,1,1,18,50,29.357
2006,1,1,19,0,30.0
2006,1,1,19,10,29.188000000000002
2006,1,1,19,20,30.0
2006,1,1,19,30,25.808000000000003
2006,1,1,19,40,30.0
2006,1,1,19,50,30.0
2006,1,1,20,0,30.0
2006,1,1,20,10,30.0
2006,1,1,20,20,30.0
2006,1,1,20,30,29.529
2006,1,1,20,40,29.114
2006,1,1,20,50,30.0
2006,1,1,21,0,30.0
2006,1,1,21,10,27.281999999999996
2006,1,1,21,20,30.0
2006,1,1,21,30,30.0
2006,1,1,21,40,30.0
2006,1,1,21,50,30.0
2006,1,1,22,0,30.0
2006,1,1,22,10,30.0
2006,1,1,22,20,27.612
2006,1,1,22,30,28.51
2006,1,1,22,40,28.051
2006,1,1,22,50,23.861
2006,1,1,23,0,24.155
2006,1,1,23,10,28.945999999999998
2006,1,1,23,20,28.318
2006,1,1,23,30,27.849
2006,1,1,23,40,28.145
2006,1,1,23,50,29.73
2006,1,2,0,0,28.704
2006,1,2,0,10,29.04
2006,1,2,0,20,26.823
2006,1,2,0,30,23.39
2006,1,2,0,40,28.444000000000003
2006,1,2,0,50,28.956
2006,1,2,1,0,30.0
2006,1,2,1,10,28.395
2006,1,2,1,20,30.0
2006,1,2,1,30,30.0
2006,1,2,1,40,29.247
2006,1,2,1,50,28.895
2006,1,2,2,0,30.0
2006,1,2,2,10,30.0
2006,1,2,2,20,27.908
2006,1,2,2,30,29.101999999999997
2006,1,2,2,40,29.444000000000003
2006,1,2,2,50,30.0
2006,1,2,3,0,30.0
2006,1,2,3,10,29.997
2006,1,2,3,20,30.0
2006,1,2,3,30,28.76
2006,1,2,3,40,29.752
2006,1,2,3,50,29.06
2006,1,2,4,0,27.621
2006,1,2,4,10,29.808000000000003
2006,1,2,4,20,30.0
2006,1,2,4,30,27.035999999999998
2006,1,2,4,40,21.236
2006,1,2,4,50,18.15
2006,1,2,5,0,24.496
2006,1,2,5,10,25.078000000000003
2006,1,2,5,20,22.243000000000002
2006,1,2,5,30,22.756
2006,1,2,5,40,20.695999999999998
2006,1,2,5,50,22.189
2006,1,2,6,0,24.421999999999997
2006,1,2,6,10,25.215
2006,1,2,6,20,25.133000000000003
2006,1,2,6,30,26.764
2006,1,2,6,40,24.991
2006,1,2,6,50,30.0
2006,1,2,7,0,23.002
2006,1,2,7,10,22.326999999999998
2006,1,2,7,20,21.113000000000003
2006,1,2,7,30,19.518
2006,1,2,7,40,16.278
2006,1,2,7,50,20.098
2006,1,2,8,0,20.635
2006,1,2,8,10,22.099
2006,1,2,8,20,10.434000000000001
2006,1,2,8,30,7.1
2006,1,2,8,40,6.075
2006,1,2,8,50,5.528
2006,1,2,9,0,3.451
2006,1,2,9,10,1.976
2006,1,2,9,20,1.788
2006,1,2,9,30,1.3459999999999999
2006,1,2,9,40,2.766
2006,1,2,9,50,2.3480000000000003
2006,1,2,10,0,3.167
2006,1,2,10,10,0.0
2006,1,2,10,20,3.887
2006,1,2,10,30,5.3629999999999995
2006,1,2,10,40,4.4510000000000005
2006,1,2,10,50,3.208
2006,1,2,11,0,3.9560000000000004
2006,1,2,11,10,2.542
2006,1,2,11,20,1.4969999999999999
2006,1,2,11,30,2.7710000000000004
2006,1,2,11,40,2.949
2006,1,2,11,50,1.393
2006,1,2,12,0,2.121
2006,1,2,12,10,2.7289999999999996
2006,1,2,12,20,2.909
2006,1,2,12,30,2.818
2006,1,2,12,40,1.469
2006,1,2,12,50,5.131
2006,1,2,13,0,4.664
2006,1,2,13,10,5.5920000000000005
2006,1,2,13,20,6.131
2006,1,2,13,30,6.551
2006,1,2,13,40,5.205
2006,1,2,13,50,5.147
2006,1,2,14,0,4.2219999999999995
2006,1,2,14,10,3.0660000000000003
2006,1,2,14,20,4.935
2006,1,2,14,30,5.541
2006,1,2,14,40,6.837000000000001
2006,1,2,14,50,7.059
2006,1,2,15,0,7.664
2006,1,2,15,10,5.832000000000001
2006,1,2,15,20,4.855
2006,1,2,15,30,4.042
2006,1,2,15,40,4.011
2006,1,2,15,50,4.252
2006,1,2,16,0,4.127
2006,1,2,16,10,4.853
2006,1,2,16,20,5.851
2006,1,2,16,30,11.927
2006,1,2,16,40,13.585
2006,1,2,16,50,15.831
2006,1,2,17,0,6.9479999999999995
2006,1,2,17,10,7.689
2006,1,2,17,20,8.86
2006,1,2,17,30,10.044
2006,1,2,17,40,4.647
2006,1,2,17,50,5.56
2006,1,2,18,0,6.05
2006,1,2,18,10,4.1610000000000005
2006,1,2,18,20,3.8510000000000004
2006,1,2,18,30,3.718
2006,1,2,18,40,4.637
2006,1,2,18,50,6.497000000000001
2006,1,2,19,0,6.358
2006,1,2,19,10,6.16
2006,1,2,19,20,10.172
2006,1,2,19,30,9.869
2006,1,2,19,40,7.937
2006,1,2,19,50,7.907
2006,1,2,20,0,7.266
2006,1,2,20,10,7.0520000000000005
2006,1,2,20,20,7.888
2006,1,2,20,30,5.356
2006,1,2,20,40,5.399
2006,1,2,20,50,6.794
2006,1,2,21,0,6.875
2006,1,2,21,10,6.4879999999999995
2006,1,2,21,20,5.127999999999999
2006,1,2,21,30,8.541
2006,1,2,21,40,7.317
2006,1,2,21,50,4.553999999999999
2006,1,2,22,0,6.028
2006,1,2,22,10,5.861000000000001
2006,1,2,22,20,7.22
2006,1,2,22,30,3.6239999999999997
2006,1,2,22,40,8.08
2006,1,2,22,50,9.752
2006,1,2,23,0,6.877999999999999
2006,1,2,23,10,5.687
2006,1,2,23,20,6.438
2006,1,2,23,30,5.422000000000001
2006,1,2,23,40,5.541
2006,1,2,23,50,6.6979999999999995
2006,1,3,0,0,2.388
2006,1,3,0,10,5.031000000000001
2006,1,3,0,20,5.756
2006,1,3,0,30,6.11
2006,1,3,0,40,5.3870000000000005
2006,1,3,0,50,4.718999999999999
2006,1,3,1,0,4.601
2006,1,3,1,10,3.089
2006,1,3,1,20,2.786
2006,1,3,1,30,0.701
2006,1,3,1,40,1.389
2006,1,3,1,50,2.0380000000000003
2006,1,3,2,0,1.7069999999999999
2006,1,3,2,10,1.834
2006,1,3,2,20,0.0
2006,1,3,2,30,1.9269999999999998
2006,1,3,2,40,2.099
2006,1,3,2,50,0.0
2006,1,3,3,0,1.268
2006,1,3,3,10,2.713
2006,1,3,3,20,0.0
2006,1,3,3,30,2.588
2006,1,3,3,40,3.275
2006,1,3,3,50,3.15
2006,1,3,4,0,1.351
2006,1,3,4,10,3.1719999999999997
2006,1,3,4,20,1.099
2006,1,3,4,30,1.8119999999999998
2006,1,3,4,40,2.818
2006,1,3,4,50,2.7119999999999997
2006,1,3,5,0,4.413
2006,1,3,5,10,2.267
2006,1,3,5,20,3.56
2006,1,3,5,30,5.521
2006,1,3,5,40,4.942
2006,1,3,5,50,6.0329999999999995
2006,1,3,6,0,6.0729999999999995
2006,1,3,6,10,9.137
2006,1,3,6,20,8.192
2006,1,3,6,30,7.931
2006,1,3,6,40,6.765
2006,1,3,6,50,4.276
2006,1,3,7,0,6.926
2006,1,3,7,10,7.348
2006,1,3,7,20,8.333
2006,1,3,7,30,5.767
2006,1,3,7,40,10.031
2006,1,3,7,50,10.296
2006,1,3,8,0,10.447000000000001
2006,1,3,8,10,14.747
2006,1,3,8,20,13.954
2006,1,3,8,30,14.669
2006,1,3,8,40,14.157
2006,1,3,8,50,12.399000000000001
2006,1,3,9,0,13.765999999999998
2006,1,3,9,10,15.163
2006,1,3,9,20,14.686
2006,1,3,9,30,21.584
2006,1,3,9,40,21.432
2006,1,3,9,50,21.566999999999997
2006,1,3,10,0,20.578000000000003
