SiteID, 12798
Longitude, -124.375
Latitude, 40.34375
Year,Month,Day,Hour,Minute,SCORE-lite Power Output 100m
2006,1,1,0,0,1.462
2006,1,1,0,10,0.677
2006,1,1,0,20,0.996
2006,1,1,0,30,0.32299999999999995
2006,1,1,0,40,0.47
2006,1,1,0,50,0.774
2006,1,1,1,0,0.706
2006,1,1,1,10,1.909
2006,1,1,1,20,0.0
2006,1,1,1,30,0.158
2006,1,1,1,40,1.79
2006,1,1,1,50,1.7480000000000002
2006,1,1,2,0,1.9669999999999999
2006,1,1,2,10,0.9740000000000001
2006,1,1,2,20,0.28
2006,1,1,2,30,0.867
2006,1,1,2,40,3.595
2006,1,1,2,50,3.545
2006,1,1,3,0,4.541
2006,1,1,3,10,4.178
2006,1,1,3,20,6.105
2006,1,1,3,30,7.352
2006,1,1,3,40,8.801
2006,1,1,3,50,11.168
2006,1,1,4,0,13.905999999999999
2006,1,1,4,10,11.624
2006,1,1,4,20,13.899000000000001
2006,1,1,4,30,13.927
2006,1,1,4,40,17.962
2006,1,1,4,50,19.435
2006,1,1,5,0,21.44
2006,1,1,5,10,23.444000000000003
2006,1,1,5,20,24.747
2006,1,1,5,30,27.803
2006,1,1,5,40,26.826999999999998
2006,1,1,5,50,27.683000000000003
2006,1,1,6,0,30.0
2006,1,1,6,10,29.529
2006,1,1,6,20,30.0
2006,1,1,6,30,30.0
2006,1,1,6,40,28.653000000000002
2006,1,1,6,50,30.0
2006,1,1,7,0,30.0
2006,1,1,7,10,29.176
2006,1,1,7,20,30.0
2006,1,1,7,30,28.313000000000002
2006,1,1,7,40,27.505
2006,1,1,7,50,29.888
2006,1,1,8,0,30.0
2006,1,1,8,10,29.586
2006,1,1,8,20,29.410999999999998
2006,1,1,8,30,30.0
2006,1,1,8,40,30.0
2006,1,1,8,50,30.0
2006,1,1,9,0,30.0
2006,1,1,9,10,30.0
2006,1,1,9,20,29.135
2006,1,1,9,30,30.0
2006,1,1,9,40,30.0
2006,1,1,9,50,30.0
2006,1,1,10,0,29.644000000000002
2006,1,1,10,10,29.561999999999998
2006,1,1,10,20,30.0
2006,1,1,10,30,30.0
