SiteID, 13009
Longitude, -124.375
Latitude, 40.59375
Year,Month,Day,Hour,Minute,SCORE-lite Power Output 100m
2006,1,1,0,0,0.665
2006,1,1,0,10,3.694
2006,1,1,0,20,2.6069999999999998
2006,1,1,0,30,2.895
2006,1,1,0,40,1.709
2006,1,1,0,50,0.231
2006,1,1,1,0,1.619
2006,1,1,1,10,0.419
2006,1,1,1,20,3.0239999999999996
2006,1,1,1,30,3.638
2006,1,1,1,40,0.35600000000000004
2006,1,1,1,50,4.87
2006,1,1,2,0,4.459
2006,1,1,2,10,3.6189999999999998
2006,1,1,2,20,5.62
2006,1,1,2,30,4.867
2006,1,1,2,40,6.114
2006,1,1,2,50,6.18
2006,1,1,3,0,7.669
2006,1,1,3,10,8.647
2006,1,1,3,20,9.717
2006,1,1,3,30,8.764
2006,1,1,3,40,9.314
2006,1,1,3,50,11.911
2006,1,1,4,0,11.629000000000001
2006,1,1,4,10,13.354000000000001
2006,1,1,4,20,16.445999999999998
2006,1,1,4,30,15.499
2006,1,1,4,40,17.788
2006,1,1,4,50,22.426
2006,1,1,5,0,22.67
2006,1,1,5,10,25.325
2006,1,1,5,20,24.104
2006,1,1,5,30,21.886999999999997
2006,1,1,5,40,21.738000000000003
2006,1,1,5,50,24.421
2006,1,1,6,0,25.553
2006,1,1,6,10,26.503
2006,1,1,6,20,27.075
2006,1,1,6,30,29.910999999999998
2006,1,1,6,40,29.191
2006,1,1,6,50,29.529
2006,1,1,7,0,28.096
2006,1,1,7,10,29.09
2006,1,1,7,20,29.38
2006,1,1,7,30,30.0
2006,1,1,7,40,29.088
2006,1,1,7,50,28.658
2006,1,1,8,0,30.0
2006,1,1,8,10,30.0
2006,1,1,8,20,30.0
2006,1,1,8,30,30.0
2006,1,1,8,40,30.0
2006,1,1,8,50,27.874000000000002
2006,1,1,9,0,28.660999999999998
2006,1,1,9,10,30.0
2006,1,1,9,20,30.0
2006,1,1,9,30,30.0
2006,1,1,9,40,30.0
2006,1,1,9,50,29.719
2006,1,1,10,0,29.881
2006,1,1,10,10,27.604
2006,1,1,10,20,28.714000000000002
2006,1,1,10,30,25.781
2006,1,1,10,40,30.0
2006,1,1,10,50,30.0
2006,1,1,11,0,27.923000000000002
2006,1,1,11,10,30.0
2006,1,1,11,20,29.55
2006,1,1,11,30,30.0
2006,1,1,11,40,29.745
2006,1,1,11,50,29.265
2006,1,1,12,0,29.941
2006,1,1,12,10,30.0
2006,1,1,12,20,28.55
2006,1,1,12,30,29.486
2006,1,1,12,40,30.0
2006,1,1,12,50,28.775
2006,1,1,13,0,28.836
2006,1,1,13,10,28.831
2006,1,1,13,20,29.874000000000002
2006,1,1,13,30,30.0
2006,1,1,13,40,30.0
2006,1,1,13,50,29.967
2006,1,1,14,0,29.502
2006,1,1,14,10,30.0
2006,1,1,14,20,30.0
2006,1,1,14,30,30.0
2006,1,1,14,40,30.0
2006,1,1,14,50,30.0
2006,1,1,15,0,30.0
2006,1,1,15,10,29.605999999999998
2006,1,1,15,20,30.0
2006,1,1,15,30,30.0
2006,1,1,15,40,27.873
2006,1,1,15,50,29.691999999999997
