SiteID, 12717
Longitude, -124.375
Latitude, 40.3125
Year,Month,Day,Hour,Minute,SCORE-lite Power Output 100m
2006,1,1,0,0,2.053
2006,1,1,0,10,2.369
2006,1,1,0,20,1.176
2006,1,1,0,30,1.505
2006,1,1,0,40,1.504
2006,1,1,0,50,0.187
2006,1,1,1,0,1.521
2006,1,1,1,10,2.267
2006,1,1,1,20,1.702
2006,1,1,1,30,2.48
2006,1,1,1,40,1.7990000000000002
2006,1,1,1,50,2.903
2006,1,1,2,0,1.819
2006,1,1,2,10,3.55
2006,1,1,2,20,4.501
2006,1,1,2,30,3.048
2006,1,1,2,40,1.7930000000000001
2006,1,1,2,50,3.4619999999999997
2006,1,1,3,0,6.626
2006,1,1,3,10,5.58
2006,1,1,3,20,8.156
2006,1,1,3,30,10.334000000000001
2006,1,1,3,40,13.13
2006,1,1,3,50,16.744
2006,1,1,4,0,14.735999999999999
2006,1,1,4,10,17.407
2006,1,1,4,20,20.729
2006,1,1,4,30,25.378
2006,1,1,4,40,20.765
2006,1,1,4,50,24.936
2006,1,1,5,0,23.485
2006,1,1,5,10,28.861
2006,1,1,5,20,29.064
2006,1,1,5,30,29.21
2006,1,1,5,40,30.0
2006,1,1,5,50,30.0
2006,1,1,6,0,30.0
2006,1,1,6,10,29.343000000000004
2006,1,1,6,20,29.483
2006,1,1,6,30,30.0
2006,1,1,6,40,30.0
2006,1,1,6,50,30.0
2006,1,1,7,0,28.104
2006,1,1,7,10,30.0
2006,1,1,7,20,30.0
2006,1,1,7,30,29.596999999999998
2006,1,1,7,40,29.373
2006,1,1,7,50,29.092
2006,1,1,8,0,30.0
2006,1,1,8,10,28.836
2006,1,1,8,20,28.948
2006,1,1,8,30,30.0
2006,1,1,8,40,30.0
2006,1,1,8,50,28.031
2006,1,1,9,0,30.0
2006,1,1,9,10,30.0
2006,1,1,9,20,29.581
2006,1,1,9,30,29.846
2006,1,1,9,40,28.524
2006,1,1,9,50,30.0
2006,1,1,10,0,30.0
2006,1,1,10,10,30.0
2006,1,1,10,20,30.0
2006,1,1,10,30,29.399
2006,1,1,10,40,30.0
2006,1,1,10,50,29.424
2006,1,1,11,0,30.0
